Project,Sampling Unit Name,Protocol,Date,Start Time,End Time,Count,Spp,Common Name,Scientific Name,Detection Cue,Breeding Evidence,Visit Note,Observation Note,Researcher,Other Observers Count,Other Observers Names,Data Status
CHSS,ANDALIEN7,WATERBIRD_COUNT,2017-01-25,13:17:00,13:22:00,2,AMOY,American Oystercatcher,Haematopus palliatus,,,,,"Norambuena, Heraldo",1,"Cisterna, Andrea",AVAILABLE Level 5
CHSS,ANDALIEN8,WATERBIRD_COUNT,2017-01-25,13:22:00,13:28:00,2,AMOY,American Oystercatcher,Haematopus palliatus,,,,,"Norambuena, Heraldo",1,"Cisterna, Andrea",AVAILABLE Level 5
CHSS,ANDALIEN8,WATERBIRD_COUNT,2017-01-25,13:22:00,13:28:00,1,SOLA,Southern Lapwing,Vanellus chilensis,,,,,"Norambuena, Heraldo",1,"Cisterna, Andrea",AVAILABLE Level 5
CHSS,ROCUANT1,WATERBIRD_COUNT,2017-01-25,13:22:00,13:45:00,39,WHIM,Whimbrel,Numenius phaeopus,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ROCUANT1,WATERBIRD_COUNT,2017-01-25,13:22:00,13:45:00,19,SOLA,Southern Lapwing,Vanellus chilensis,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ROCUANT1,WATERBIRD_COUNT,2017-01-25,13:22:00,13:45:00,1,AMOY,American Oystercatcher,Haematopus palliatus,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ROCUANT1,WATERBIRD_COUNT,2017-01-25,13:22:00,13:45:00,23,BLSK,Black Skimmer,Rynchops niger,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ROCUANT1,WATERBIRD_COUNT,2017-01-25,13:22:00,13:45:00,11,KEGU,Kelp Gull,Larus dominicanus,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ROCUANT1,WATERBIRD_COUNT,2017-01-25,13:22:00,13:45:00,7,LEYE,Lesser Yellowlegs,Tringa flavipes,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ROCUANT2,WATERBIRD_COUNT,2017-01-25,13:47:00,14:15:00,13,WHIM,Whimbrel,Numenius phaeopus,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ROCUANT2,WATERBIRD_COUNT,2017-01-25,13:47:00,14:15:00,5,BNST,Black-necked Stilt,Himantopus mexicanus,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ROCUANT2,WATERBIRD_COUNT,2017-01-25,13:47:00,14:15:00,1,SOLA,Southern Lapwing,Vanellus chilensis,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ROCUANT2,WATERBIRD_COUNT,2017-01-25,13:47:00,14:15:00,12,GRYE,Greater Yellowlegs,Tringa melanoleuca,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ROCUANT2,WATERBIRD_COUNT,2017-01-25,13:47:00,14:15:00,10,LEYE,Lesser Yellowlegs,Tringa flavipes,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ROCUANT2,WATERBIRD_COUNT,2017-01-25,13:47:00,14:15:00,1,TUVU,Turkey Vulture,Cathartes aura,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,MAIPO1,WATERBIRD_COUNT,2017-02-11,09:43:00,10:00:00,0,---,----,----,,,,,,2,"Montserrat Vanerio, Nelson Contardo",AVAILABLE Level 5
CHSS,MAIPO10,WATERBIRD_COUNT,2017-02-11,12:00:00,12:14:00,4,AMOY,American Oystercatcher,Haematopus palliatus,,,,,"Fernando, Medrano",2,"Montserrat Vanerio, Nelson Contardo",AVAILABLE Level 5
CHSS,MAIPO10,WATERBIRD_COUNT,2017-02-11,12:00:00,12:14:00,4,CHAA,Kentish Plover,Charadrius alexandrinus,,,,,"Fernando, Medrano",2,"Montserrat Vanerio, Nelson Contardo",AVAILABLE Level 5
CHSS,MAIPO10,WATERBIRD_COUNT,2017-02-11,12:00:00,12:14:00,4,COPL,Collared Plover,Charadrius collaris,,,,,"Fernando, Medrano",2,"Montserrat Vanerio, Nelson Contardo",AVAILABLE Level 5
CHSS,MAIPO11,WATERBIRD_COUNT,2017-02-11,12:15:00,12:33:00,133,SESA,Semipalmated Sandpiper,Calidris pusilla,,,,,"Fernando, Medrano",2,"Montserrat Vanerio, Nelson Contardo",AVAILABLE Level 5
CHSS,MAIPO11,WATERBIRD_COUNT,2017-02-11,12:15:00,12:33:00,112,BNST,Black-necked Stilt,Himantopus mexicanus,,,,,"Fernando, Medrano",2,"Montserrat Vanerio, Nelson Contardo",AVAILABLE Level 5
CHSS,MAIPO11,WATERBIRD_COUNT,2017-02-11,12:15:00,12:33:00,2,SOLA,Southern Lapwing,Vanellus chilensis,,,,,"Fernando, Medrano",2,"Montserrat Vanerio, Nelson Contardo",AVAILABLE Level 5
CHSS,MAIPO11,WATERBIRD_COUNT,2017-02-11,12:15:00,12:33:00,69,AMOY,American Oystercatcher,Haematopus palliatus,,,,,"Fernando, Medrano",2,"Montserrat Vanerio, Nelson Contardo",AVAILABLE Level 5
CHSS,MAIPO11,WATERBIRD_COUNT,2017-02-11,12:15:00,12:33:00,2,BASA,Baird's Sandpiper,Calidris bairdii,,,,,"Fernando, Medrano",2,"Montserrat Vanerio, Nelson Contardo",AVAILABLE Level 5
CHSS,MAIPO11,WATERBIRD_COUNT,2017-02-11,12:15:00,12:33:00,1,WILL,Willet,Tringa semipalmata,,,,,"Fernando, Medrano",2,"Montserrat Vanerio, Nelson Contardo",AVAILABLE Level 5
CHSS,MAIPO12,WATERBIRD_COUNT,2017-02-11,12:36:00,12:57:00,79,BNST,Black-necked Stilt,Himantopus mexicanus,,,,,"Fernando, Medrano",2,"Montserrat Vanerio, Nelson Contardo",AVAILABLE Level 5
CHSS,MAIPO12,WATERBIRD_COUNT,2017-02-11,12:36:00,12:57:00,3,SOLA,Southern Lapwing,Vanellus chilensis,,,,,"Fernando, Medrano",2,"Montserrat Vanerio, Nelson Contardo",AVAILABLE Level 5
CHSS,MAIPO12,WATERBIRD_COUNT,2017-02-11,12:36:00,12:57:00,167,WHIM,Whimbrel,Numenius phaeopus,,,,,"Fernando, Medrano",2,"Montserrat Vanerio, Nelson Contardo",AVAILABLE Level 5
CHSS,MAIPO13,WATERBIRD_COUNT,2017-02-11,12:58:00,13:00:00,0,---,----,----,,,,,,2,"Montserrat Vanerio, Nelson Contardo",AVAILABLE Level 5
CHSS,MAIPO2,WATERBIRD_COUNT,2017-02-11,10:05:00,10:20:00,2,WHIM,Whimbrel,Numenius phaeopus,,,,,"Fernando, Medrano",2,"Montserrat Vanerio, Nelson Contardo",AVAILABLE Level 5
CHSS,MAIPO3,WATERBIRD_COUNT,2017-02-11,10:22:00,10:35:00,0,---,----,----,,,,,,2,"Montserrat Vanerio, Nelson Contardo",AVAILABLE Level 5
CHSS,MAIPO4,WATERBIRD_COUNT,2017-02-11,10:38:00,10:50:00,1,WHIM,Whimbrel,Numenius phaeopus,ND,,,,"Fernando, Medrano",2,"Montserrat Vanerio, Nelson Contardo",AVAILABLE Level 5
CHSS,MAIPO5,WATERBIRD_COUNT,2017-02-11,10:52:00,11:11:00,36,WHIM,Whimbrel,Numenius phaeopus,ND,,,,"Fernando, Medrano",2,"Montserrat Vanerio, Nelson Contardo",AVAILABLE Level 5
CHSS,MAIPO5,WATERBIRD_COUNT,2017-02-11,10:52:00,11:11:00,3,COPL,Collared Plover,Charadrius collaris,ND,,,,"Fernando, Medrano",2,"Montserrat Vanerio, Nelson Contardo",AVAILABLE Level 5
CHSS,MAIPO5,WATERBIRD_COUNT,2017-02-11,10:52:00,11:11:00,4,AMOY,American Oystercatcher,Haematopus palliatus,ND,,,,"Fernando, Medrano",2,"Montserrat Vanerio, Nelson Contardo",AVAILABLE Level 5
CHSS,MAIPO6,WATERBIRD_COUNT,2017-02-11,11:12:00,11:20:00,1,WHIM,Whimbrel,Numenius phaeopus,ND,,,,"Fernando, Medrano",2,"Montserrat Vanerio, Nelson Contardo",AVAILABLE Level 5
CHSS,MAIPO6,WATERBIRD_COUNT,2017-02-11,11:12:00,11:20:00,8,COPL,Collared Plover,Charadrius collaris,ND,,,,"Fernando, Medrano",2,"Montserrat Vanerio, Nelson Contardo",AVAILABLE Level 5
CHSS,MAIPO6,WATERBIRD_COUNT,2017-02-11,11:12:00,11:20:00,6,AMOY,American Oystercatcher,Haematopus palliatus,ND,,,,"Fernando, Medrano",2,"Montserrat Vanerio, Nelson Contardo",AVAILABLE Level 5
CHSS,MAIPO7,WATERBIRD_COUNT,2017-02-11,11:22:00,11:38:00,4,SAND,Sanderling,Calidris alba,ND,,,,"Fernando, Medrano",2,"Montserrat Vanerio, Nelson Contardo",AVAILABLE Level 5
CHSS,MAIPO8,WATERBIRD_COUNT,2017-02-11,11:39:00,11:52:00,42,BBPL,Black-bellied Plover,Pluvialis squatarola,ND,,,,"Fernando, Medrano",2,"Montserrat Vanerio, Nelson Contardo",AVAILABLE Level 5
CHSS,MAIPO8,WATERBIRD_COUNT,2017-02-11,11:39:00,11:52:00,930,SAND,Sanderling,Calidris alba,ND,,,,"Fernando, Medrano",2,"Montserrat Vanerio, Nelson Contardo",AVAILABLE Level 5
CHSS,MAIPO8,WATERBIRD_COUNT,2017-02-11,11:39:00,11:52:00,2,SOLA,Southern Lapwing,Vanellus chilensis,ND,,,,"Fernando, Medrano",2,"Montserrat Vanerio, Nelson Contardo",AVAILABLE Level 5
CHSS,MAIPO8,WATERBIRD_COUNT,2017-02-11,11:39:00,11:52:00,2,AMOY,American Oystercatcher,Haematopus palliatus,ND,,,,"Fernando, Medrano",2,"Montserrat Vanerio, Nelson Contardo",AVAILABLE Level 5
CHSS,MAIPO9,WATERBIRD_COUNT,2017-02-11,11:46:00,11:59:00,2,AMOY,American Oystercatcher,Haematopus palliatus,,,,,"Fernando, Medrano",2,"Montserrat Vanerio, Nelson Contardo",AVAILABLE Level 5
CHSS,MAIPO9,WATERBIRD_COUNT,2017-02-11,11:46:00,11:59:00,37,BNST,Black-necked Stilt,Himantopus mexicanus,,,,,"Fernando, Medrano",2,"Montserrat Vanerio, Nelson Contardo",AVAILABLE Level 5
CHSS,CHA,WATERBIRD_COUNT,2017-02-14,18:40:00,19:20:00,12,SOLA,Southern Lapwing,Vanellus chilensis,ND,,,,"Cursach, Jaime",1,Javiera Abarzأ؛a,AVAILABLE Level 5
CHSS,CHA,WATERBIRD_COUNT,2017-02-14,18:40:00,19:20:00,3,AMOY,American Oystercatcher,Haematopus palliatus,ND,,,,"Cursach, Jaime",1,Javiera Abarzأ؛a,AVAILABLE Level 5
CHSS,CHA,WATERBIRD_COUNT,2017-02-14,18:40:00,19:20:00,2,LEYE,Lesser Yellowlegs,Tringa flavipes,ND,,,,"Cursach, Jaime",1,Javiera Abarzأ؛a,AVAILABLE Level 5
CHSS,CHA,WATERBIRD_COUNT,2017-02-14,18:40:00,19:20:00,600,WHIM,Whimbrel,Numenius phaeopus,ND,,,,"Cursach, Jaime",1,Javiera Abarzأ؛a,AVAILABLE Level 5
CHSS,CHA,WATERBIRD_COUNT,2017-02-14,18:40:00,19:20:00,40,HUGO,Hudsonian Godwit,Limosa haemastica,ND,,,,"Cursach, Jaime",1,Javiera Abarzأ؛a,AVAILABLE Level 5
CHSS,CHA,WATERBIRD_COUNT,2017-02-14,18:40:00,19:20:00,8,BASA,Baird's Sandpiper,Calidris bairdii,ND,,,,"Cursach, Jaime",1,Javiera Abarzأ؛a,AVAILABLE Level 5
CHSS,CHA,WATERBIRD_COUNT,2017-02-14,18:40:00,19:20:00,120,FRGU,Franklin's Gull,Leucophaeus pipixcan,ND,,,,"Cursach, Jaime",1,Javiera Abarzأ؛a,AVAILABLE Level 5
CHSS,CHA,WATERBIRD_COUNT,2017-02-14,18:40:00,19:20:00,40,KEGU,Kelp Gull,Larus dominicanus,ND,,,,"Cursach, Jaime",1,Javiera Abarzأ؛a,AVAILABLE Level 5
CHSS,ANDALIEN1,WATERBIRD_COUNT,2018-02-03,10:17:00,10:40:00,78,WHIM,Whimbrel,Numenius phaeopus,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ANDALIEN1,WATERBIRD_COUNT,2018-02-03,10:17:00,10:40:00,7,BNST,Black-necked Stilt,Himantopus mexicanus,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ANDALIEN1,WATERBIRD_COUNT,2018-02-03,10:17:00,10:40:00,23,SOLA,Southern Lapwing,Vanellus chilensis,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ANDALIEN1,WATERBIRD_COUNT,2018-02-03,10:17:00,10:40:00,316,FRGU,Franklin's Gull,Leucophaeus pipixcan,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ANDALIEN1,WATERBIRD_COUNT,2018-02-03,10:17:00,10:40:00,15,ELTE,Elegant Tern,Thalasseus elegans,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ANDALIEN1,WATERBIRD_COUNT,2018-02-03,10:17:00,10:40:00,3,UNST,Unidentified Small Tern,Sterna spp.,,,,Sterna trudeaui,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ANDALIEN1,WATERBIRD_COUNT,2018-02-03,10:17:00,10:40:00,10,KEGU,Kelp Gull,Larus dominicanus,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ANDALIEN1,WATERBIRD_COUNT,2018-02-03,10:17:00,10:40:00,3,TUVU,Turkey Vulture,Cathartes aura,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ANDALIEN1,WATERBIRD_COUNT,2018-02-03,10:17:00,10:40:00,3,BLSK,Black Skimmer,Rynchops niger,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ANDALIEN10,WATERBIRD_COUNT,2018-02-03,11:40:00,11:43:00,2,AMOY,American Oystercatcher,Haematopus palliatus,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ANDALIEN10,WATERBIRD_COUNT,2018-02-03,11:40:00,11:43:00,1,WHIM,Whimbrel,Numenius phaeopus,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ANDALIEN11,WATERBIRD_COUNT,2018-02-03,11:44:00,11:49:00,2,AMOY,American Oystercatcher,Haematopus palliatus,,,,,"Norambuena, Heraldo",1,"Cisterna, Andrea",AVAILABLE Level 5
CHSS,ANDALIEN11,WATERBIRD_COUNT,2018-02-03,11:44:00,11:49:00,4,SOLA,Southern Lapwing,Vanellus chilensis,,,,,"Norambuena, Heraldo",1,"Cisterna, Andrea",AVAILABLE Level 5
CHSS,ANDALIEN12,WATERBIRD_COUNT,2018-02-03,11:44:00,11:49:00,2,AMOY,American Oystercatcher,Haematopus palliatus,,,,,"Norambuena, Heraldo",1,"Cisterna, Andrea",AVAILABLE Level 5
CHSS,ANDALIEN12,WATERBIRD_COUNT,2018-02-03,11:44:00,11:49:00,4,SOLA,Southern Lapwing,Vanellus chilensis,,,,,"Norambuena, Heraldo",1,"Cisterna, Andrea",AVAILABLE Level 5
CHSS,ANDALIEN2,WATERBIRD_COUNT,2018-02-03,10:49:00,11:10:00,54,WHIM,Whimbrel,Numenius phaeopus,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ANDALIEN2,WATERBIRD_COUNT,2018-02-03,10:49:00,11:10:00,1,BNST,Black-necked Stilt,Himantopus mexicanus,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ANDALIEN2,WATERBIRD_COUNT,2018-02-03,10:49:00,11:10:00,5,SOLA,Southern Lapwing,Vanellus chilensis,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ANDALIEN2,WATERBIRD_COUNT,2018-02-03,10:49:00,11:10:00,160,FRGU,Franklin's Gull,Leucophaeus pipixcan,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ANDALIEN2,WATERBIRD_COUNT,2018-02-03,10:49:00,11:10:00,60,ELTE,Elegant Tern,Thalasseus elegans,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ANDALIEN2,WATERBIRD_COUNT,2018-02-03,10:49:00,11:10:00,1,STEH,South American Tern,Sterna hirundinacea,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ANDALIEN2,WATERBIRD_COUNT,2018-02-03,10:49:00,11:10:00,20,KEGU,Kelp Gull,Larus dominicanus,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ANDALIEN2,WATERBIRD_COUNT,2018-02-03,10:49:00,11:10:00,115,BLSK,Black Skimmer,Rynchops niger,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ANDALIEN2,WATERBIRD_COUNT,2018-02-03,10:49:00,11:10:00,24,NECO,Neotropic Cormorant,Nannopterum brasilianum,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ANDALIEN2,WATERBIRD_COUNT,2018-02-03,10:49:00,11:10:00,2,AMOY,American Oystercatcher,Haematopus palliatus,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ANDALIEN2,WATERBIRD_COUNT,2018-02-03,10:49:00,11:10:00,2,GRYE,Greater Yellowlegs,Tringa melanoleuca,,,,,"Norambuena, Heraldo",1,Andrea Cisterna,AVAILABLE Level 5
CHSS,ANDALIEN3,WATERBIRD_COUNT,2018-02-03,11:12:00,11:13:00,0,---,----,----,,,,,,1,Heraldo Norambuena,AVAILABLE Level 5
CHSS,ANDALIEN4,WATERBIRD_COUNT,2018-02-03,11:15:00,11:18:00,2,AMOY,American Oystercatcher,Haematopus palliatus,,,,,"Norambuena, Heraldo",1,"Cisterna, Andrea",AVAILABLE Level 5
CHSS,ANDALIEN4,WATERBIRD_COUNT,2018-02-03,11:15:00,11:18:00,6,KEGU,Kelp Gull,Larus dominicanus,,,,,"Norambuena, Heraldo",1,"Cisterna, Andrea",AVAILABLE Level 5
CHSS,ANDALIEN5,WATERBIRD_COUNT,2018-02-03,11:18:00,11:22:00,3,AMOY,American Oystercatcher,Haematopus palliatus,,,,,"Norambuena, Heraldo",1,"Cisterna, Andrea",AVAILABLE Level 5
CHSS,ANDALIEN5,WATERBIRD_COUNT,2018-02-03,11:18:00,11:22:00,12,KEGU,Kelp Gull,Larus dominicanus,,,,,"Norambuena, Heraldo",1,"Cisterna, Andrea",AVAILABLE Level 5
CHSS,ANDALIEN6,WATERBIRD_COUNT,2018-02-03,11:23:00,11:26:00,2,WHIM,Whimbrel,Numenius phaeopus,,,,,"Norambuena, Heraldo",1,"Cisterna, Andrea",AVAILABLE Level 5
CHSS,ANDALIEN6,WATERBIRD_COUNT,2018-02-03,11:23:00,11:26:00,2,SOLA,Southern Lapwing,Vanellus chilensis,,,,,"Norambuena, Heraldo",1,"Cisterna, Andrea",AVAILABLE Level 5
